branch,transaction_volume
Hyderabad,120000
Bangalore,98000
Mumbai,150000
Delhi,132000
Chennai,87000
Kolkata,76000
Pune,91000
Ahmedabad,69000
Jaipur,54000
Lucknow,47000
Visakhapatnam,43000
Coimbatore,39000
Indore,51000
Nagpur,46000
Bhopal,37000
Patna,35000
Vijayawada,42000
Warangal,28000
Mysore,33000
Goa,26000
Noida,89000
Gurgaon,97000
Trivandrum,41000
Kochi,44000
Surat,61000
Rajkot,30000
Nashik,36000
Amritsar,25000
Jammu,22000
Shimla,18000
Dubai,170000
Singapore,165000
London,210000
New York,250000
Sydney,145000
Toronto,134000
Berlin,98000
Paris,102000
Tokyo,194000
Seoul,156000
Hong Kong,182000
Shanghai,176000
Los Angeles,201000
Chicago,167000
San Francisco,220000
Seattle,154000
Frankfurt,111000
Madrid,88000
Rome,76000
Zurich,129000